Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",158.800800,-92.484999,90.000000,top
"C2","100u","CP_EIA-3528-15_AVX-H",163.434133,-91.689999,90.000000,top
"C3","100u","CP_EIA-3528-15_AVX-H",168.737466,-91.689999,90.000000,top
"C4","100u","CP_EIA-3528-15_AVX-H",174.040800,-91.689999,90.000000,top
"C5","100n","C_0805_2012Metric",163.385500,-99.187000,0.000000,top
"C6","2.2u","C_0805_2012Metric",135.636000,-91.306000,90.000000,top
"C7","2.2u","C_0805_2012Metric",153.416000,-98.107500,0.000000,top
"C8","22u","C_0805_2012Metric",158.623000,-107.577000,0.000000,top
"C9","10u","C_0805_2012Metric",148.463000,-106.172000,0.000000,top
"C10","22p","C_0805_2012Metric",169.374500,-101.155500,0.000000,top
"C11","2.2u","C_0805_2012Metric",128.554000,-95.950400,270.000000,top
"C12","22u","C_0805_2012Metric",172.720000,-107.568500,270.000000,top
"C13","100n","C_0805_2012Metric",114.126600,-90.627200,180.000000,top
"C14","100u","CP_EIA-3528-15_AVX-H",113.331600,-94.996000,180.000000,top
"C15","100u","CP_EIA-3528-15_AVX-H",113.331600,-100.034800,180.000000,top
"C16","100n","C_0805_2012Metric",111.861600,-105.721800,270.000000,top
"C17","100p","C_0805_2012Metric",115.408600,-105.721800,270.000000,top
"D1","LED_Small","LED_1206_3216Metric",92.453000,-51.562000,0.000000,top
"D2","LED_Small","LED_1206_3216Metric",98.269600,-51.562000,0.000000,top
"D3","LED_Small","LED_1206_3216Metric",104.086200,-51.562000,0.000000,top
"D4","LED_Small","LED_1206_3216Metric",109.902800,-51.562000,0.000000,top
"D5","LED_Small","LED_1206_3216Metric",115.719400,-51.562000,0.000000,top
"D6","LED_Small","LED_1206_3216Metric",121.536000,-51.562000,0.000000,top
"D7","LED_Small","LED_1206_3216Metric",127.352600,-51.562000,0.000000,top
"D8","LED_Small","LED_1206_3216Metric",133.169200,-51.562000,0.000000,top
"D9","LED_Small","LED_1206_3216Metric",138.985800,-51.562000,0.000000,top
"D10","LED_Small","LED_1206_3216Metric",144.802400,-51.562000,0.000000,top
"D11","LED_Small","LED_1206_3216Metric",150.619000,-51.562000,0.000000,top
"D12","LED_Small","LED_1206_3216Metric",156.435600,-51.562000,0.000000,top
"D13","LED_Small","LED_1206_3216Metric",162.252200,-51.562000,0.000000,top
"D14","LED_Small","LED_1206_3216Metric",168.068800,-51.562000,0.000000,top
"D15","LED_Small","LED_1206_3216Metric",173.885400,-51.562000,0.000000,top
"D16","LED_Small","LED_1206_3216Metric",179.702000,-51.562000,0.000000,top
"D17","LED_Small","LED_1206_3216Metric",92.453000,-56.141257,0.000000,top
"D18","LED_Small","LED_1206_3216Metric",98.269600,-56.141257,0.000000,top
"D19","LED_Small","LED_1206_3216Metric",104.086200,-56.141257,0.000000,top
"D20","LED_Small","LED_1206_3216Metric",109.902800,-56.141257,0.000000,top
"D21","LED_Small","LED_1206_3216Metric",115.719400,-56.141257,0.000000,top
"D22","LED_Small","LED_1206_3216Metric",121.536000,-56.141257,0.000000,top
"D23","LED_Small","LED_1206_3216Metric",127.352600,-56.141257,0.000000,top
"D24","LED_Small","LED_1206_3216Metric",133.169200,-56.141257,0.000000,top
"D25","LED_Small","LED_1206_3216Metric",138.985800,-56.141257,0.000000,top
"D26","LED_Small","LED_1206_3216Metric",144.802400,-56.141257,0.000000,top
"D27","LED_Small","LED_1206_3216Metric",150.619000,-56.141257,0.000000,top
"D28","LED_Small","LED_1206_3216Metric",156.435600,-56.141257,0.000000,top
"D29","LED_Small","LED_1206_3216Metric",162.252200,-56.141257,0.000000,top
"D30","LED_Small","LED_1206_3216Metric",168.068800,-56.141257,0.000000,top
"D31","LED_Small","LED_1206_3216Metric",173.885400,-56.141257,0.000000,top
"D32","LED_Small","LED_1206_3216Metric",179.702000,-56.141257,0.000000,top
"D33","LED_Small","LED_1206_3216Metric",92.453000,-60.720514,0.000000,top
"D34","LED_Small","LED_1206_3216Metric",98.269600,-60.720514,0.000000,top
"D35","LED_Small","LED_1206_3216Metric",104.086200,-60.720514,0.000000,top
"D36","LED_Small","LED_1206_3216Metric",109.902800,-60.720514,0.000000,top
"D37","LED_Small","LED_1206_3216Metric",115.719400,-60.720514,0.000000,top
"D38","LED_Small","LED_1206_3216Metric",121.536000,-60.720514,0.000000,top
"D39","LED_Small","LED_1206_3216Metric",127.352600,-60.720514,0.000000,top
"D40","LED_Small","LED_1206_3216Metric",133.169200,-60.720514,0.000000,top
"D41","LED_Small","LED_1206_3216Metric",138.985800,-60.720514,0.000000,top
"D42","LED_Small","LED_1206_3216Metric",144.802400,-60.720514,0.000000,top
"D43","LED_Small","LED_1206_3216Metric",150.619000,-60.720514,0.000000,top
"D44","LED_Small","LED_1206_3216Metric",156.435600,-60.720514,0.000000,top
"D45","LED_Small","LED_1206_3216Metric",162.252200,-60.720514,0.000000,top
"D46","LED_Small","LED_1206_3216Metric",168.068800,-60.720514,0.000000,top
"D47","LED_Small","LED_1206_3216Metric",173.885400,-60.720514,0.000000,top
"D48","LED_Small","LED_1206_3216Metric",179.702000,-60.720514,0.000000,top
"D49","LED_Small","LED_1206_3216Metric",92.453000,-65.299771,0.000000,top
"D50","LED_Small","LED_1206_3216Metric",98.269600,-65.299771,0.000000,top
"D51","LED_Small","LED_1206_3216Metric",104.086200,-65.299771,0.000000,top
"D52","LED_Small","LED_1206_3216Metric",109.902800,-65.299771,0.000000,top
"D53","LED_Small","LED_1206_3216Metric",115.719400,-65.299771,0.000000,top
"D54","LED_Small","LED_1206_3216Metric",121.536000,-65.299771,0.000000,top
"D55","LED_Small","LED_1206_3216Metric",127.352600,-65.299771,0.000000,top
"D56","LED_Small","LED_1206_3216Metric",133.169200,-65.299771,0.000000,top
"D57","LED_Small","LED_1206_3216Metric",138.985800,-65.299771,0.000000,top
