Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,158.8008,-92.484999,90,top
C2,100u,CP_EIA-3528-15_AVX-H,163.434133,-91.689999,90,top
C3,100u,CP_EIA-3528-15_AVX-H,168.737466,-91.689999,90,top
C4,100u,CP_EIA-3528-15_AVX-H,174.0408,-91.689999,90,top
C5,100n,C_0805_2012Metric,163.3855,-99.187,0,top
C6,2.2u,C_0805_2012Metric,135.636,-91.306,90,top
C7,2.2u,C_0805_2012Metric,153.416,-98.1075,0,top
C8,22u,C_0805_2012Metric,158.623,-107.577,0,top
C9,10u,C_0805_2012Metric,148.463,-106.172,0,top
C10,22p,C_0805_2012Metric,169.3745,-101.1555,0,top
C11,2.2u,C_0805_2012Metric,128.554,-95.9504,270,top
C12,22u,C_0805_2012Metric,172.72,-107.5685,270,top
C13,100n,C_0805_2012Metric,114.1266,-90.6272,180,top
C14,100u,CP_EIA-3528-15_AVX-H,113.3316,-94.996,180,top
C15,100u,CP_EIA-3528-15_AVX-H,113.3316,-100.0348,180,top
C16,100n,C_0805_2012Metric,111.8616,-105.7218,270,top
C17,100p,C_0805_2012Metric,115.4086,-105.7218,270,top
D1,LED_Small,LED_1206_3216Metric,92.453,-51.562,0,top
D2,LED_Small,LED_1206_3216Metric,98.2696,-51.562,0,top
D3,LED_Small,LED_1206_3216Metric,104.0862,-51.562,0,top
D4,LED_Small,LED_1206_3216Metric,109.9028,-51.562,0,top
D5,LED_Small,LED_1206_3216Metric,115.7194,-51.562,0,top
D6,LED_Small,LED_1206_3216Metric,121.536,-51.562,0,top
D7,LED_Small,LED_1206_3216Metric,127.3526,-51.562,0,top
D8,LED_Small,LED_1206_3216Metric,133.1692,-51.562,0,top
D9,LED_Small,LED_1206_3216Metric,138.9858,-51.562,0,top
D10,LED_Small,LED_1206_3216Metric,144.8024,-51.562,0,top
D11,LED_Small,LED_1206_3216Metric,150.619,-51.562,0,top
D12,LED_Small,LED_1206_3216Metric,156.4356,-51.562,0,top
D13,LED_Small,LED_1206_3216Metric,162.2522,-51.562,0,top
D14,LED_Small,LED_1206_3216Metric,168.0688,-51.562,0,top
D15,LED_Small,LED_1206_3216Metric,173.8854,-51.562,0,top
D16,LED_Small,LED_1206_3216Metric,179.702,-51.562,0,top
D17,LED_Small,LED_1206_3216Metric,92.453,-56.141257,0,top
D18,LED_Small,LED_1206_3216Metric,98.2696,-56.141257,0,top
D19,LED_Small,LED_1206_3216Metric,104.0862,-56.141257,0,top
D20,LED_Small,LED_1206_3216Metric,109.9028,-56.141257,0,top
D21,LED_Small,LED_1206_3216Metric,115.7194,-56.141257,0,top
D22,LED_Small,LED_1206_3216Metric,121.536,-56.141257,0,top
D23,LED_Small,LED_1206_3216Metric,127.3526,-56.141257,0,top
D24,LED_Small,LED_1206_3216Metric,133.1692,-56.141257,0,top
D25,LED_Small,LED_1206_3216Metric,138.9858,-56.141257,0,top
D26,LED_Small,LED_1206_3216Metric,144.8024,-56.141257,0,top
D27,LED_Small,LED_1206_3216Metric,150.619,-56.141257,0,top
D28,LED_Small,LED_1206_3216Metric,156.4356,-56.141257,0,top
D29,LED_Small,LED_1206_3216Metric,162.2522,-56.141257,0,top
D30,LED_Small,LED_1206_3216Metric,168.0688,-56.141257,0,top
D31,LED_Small,LED_1206_3216Metric,173.8854,-56.141257,0,top
D32,LED_Small,LED_1206_3216Metric,179.702,-56.141257,0,top
D33,LED_Small,LED_1206_3216Metric,92.453,-60.720514,0,top
D34,LED_Small,LED_1206_3216Metric,98.2696,-60.720514,0,top
D35,LED_Small,LED_1206_3216Metric,104.0862,-60.720514,0,top
D36,LED_Small,LED_1206_3216Metric,109.9028,-60.720514,0,top
D37,LED_Small,LED_1206_3216Metric,115.7194,-60.720514,0,top
D38,LED_Small,LED_1206_3216Metric,121.536,-60.720514,0,top
D39,LED_Small,LED_1206_3216Metric,127.3526,-60.720514,0,top
D40,LED_Small,LED_1206_3216Metric,133.1692,-60.720514,0,top
D41,LED_Small,LED_1206_3216Metric,138.9858,-60.720514,0,top
D42,LED_Small,LED_1206_3216Metric,144.8024,-60.720514,0,top
D43,LED_Small,LED_1206_3216Metric,150.619,-60.720514,0,top
D44,LED_Small,LED_1206_3216Metric,156.4356,-60.720514,0,top
D45,LED_Small,LED_1206_3216Metric,162.2522,-60.720514,0,top
D46,LED_Small,LED_1206_3216Metric,168.0688,-60.720514,0,top
D47,LED_Small,LED_1206_3216Metric,173.8854,-60.720514,0,top
D48,LED_Small,LED_1206_3216Metric,179.702,-60.720514,0,top
D49,LED_Small,LED_1206_3216Metric,92.453,-65.299771,0,top
D50,LED_Small,LED_1206_3216Metric,98.2696,-65.299771,0,top
D51,LED_Small,LED_1206_3216Metric,104.0862,-65.299771,0,top
D52,LED_Small,LED_1206_3216Metric,109.9028,-65.299771,0,top
D53,LED_Small,LED_1206_3216Metric,115.7194,-65.299771,0,top
D54,LED_Small,LED_1206_3216Metric,121.536,-65.299771,0,top
D55,LED_Small,LED_1206_3216Metric,127.3526,-65.299771,0,top
D56,LED_Small,LED_1206_3216Metric,133.1692,-65.299771,0,top
D57,LED_Small,LED_1206_3216Metric,138.9858,-65.299771,0,top
D58,LED_Small,LED_1206_3216Metric,144.8024,-65.299771,0,top
D59,LED_Small,LED_1206_3216Metric,150.619,-65.299771,0,top
D60,LED_Small,LED_1206_3216Metric,156.4356,-65.299771,0,top
D61,LED_Small,LED_1206_3216Metric,162.2522,-65.299771,0,top
D62,LED_Small,LED_1206_3216Metric,168.0688,-65.299771,0,top
D63,LED_Small,LED_1206_3216Metric,173.8854,-65.299771,0,top
D64,LED_Small,LED_1206_3216Metric,179.702,-65.299771,0,top
D65,LED_Small,LED_1206_3216Metric,92.453,-69.879028,0,top
D66,LED_Small,LED_1206_3216Metric,98.2696,-69.879028,0,top
D67,LED_Small,LED_1206_3216Metric,104.0862,-69.879028,0,top
D68,LED_Small,LED_1206_3216Metric,109.9028,-69.879028,0,top
